date,hour,total_generation,datetime
2016-01-01,0,5683.0,2016-01-01 00:00:00
2016-01-01,1,4843.0,2016-01-01 01:00:00
2016-01-01,2,4327.0,2016-01-01 02:00:00
2016-01-01,3,3717.0,2016-01-01 03:00:00
2016-01-01,4,2877.0,2016-01-01 04:00:00
2016-01-01,5,2078.0,2016-01-01 05:00:00
2016-01-01,6,1326.0,2016-01-01 06:00:00
2016-01-01,7,688.0,2016-01-01 07:00:00
2016-01-01,8,555.0,2016-01-01 08:00:00
2016-01-01,9,560.0,2016-01-01 09:00:00
2016-01-01,10,820.0,2016-01-01 10:00:00
2016-01-01,11,1085.0,2016-01-01 11:00:00
2016-01-01,12,1271.0,2016-01-01 12:00:00
2016-01-01,13,1392.0,2016-01-01 13:00:00
2016-01-01,14,1456.0,2016-01-01 14:00:00
2016-01-01,15,1565.0,2016-01-01 15:00:00
2016-01-01,16,1698.0,2016-01-01 16:00:00
2016-01-01,17,1840.0,2016-01-01 17:00:00
2016-01-01,18,2138.0,2016-01-01 18:00:00
2016-01-01,19,2516.0,2016-01-01 19:00:00
2016-01-01,20,2912.0,2016-01-01 20:00:00
2016-01-01,21,3383.0,2016-01-01 21:00:00
2016-01-01,22,3962.0,2016-01-01 22:00:00
2016-01-01,23,4470.0,2016-01-01 23:00:00
2016-01-02,0,4900.0,2016-01-02 00:00:00
2016-01-02,1,5358.0,2016-01-02 01:00:00
2016-01-02,2,5540.0,2016-01-02 02:00:00
2016-01-02,3,5734.0,2016-01-02 03:00:00
2016-01-02,4,5925.0,2016-01-02 04:00:00
2016-01-02,5,6010.0,2016-01-02 05:00:00
2016-01-02,6,6038.0,2016-01-02 06:00:00
2016-01-02,7,5886.0,2016-01-02 07:00:00
2016-01-02,8,5799.0,2016-01-02 08:00:00
2016-01-02,9,5720.0,2016-01-02 09:00:00
2016-01-02,10,5625.0,2016-01-02 10:00:00
2016-01-02,11,5500.0,2016-01-02 11:00:00
2016-01-02,12,5400.0,2016-01-02 12:00:00
2016-01-02,13,5371.0,2016-01-02 13:00:00
2016-01-02,14,5361.0,2016-01-02 14:00:00
2016-01-02,15,5333.0,2016-01-02 15:00:00
2016-01-02,16,5392.0,2016-01-02 16:00:00
2016-01-02,17,5651.0,2016-01-02 17:00:00
2016-01-02,18,5969.0,2016-01-02 18:00:00
2016-01-02,19,6200.0,2016-01-02 19:00:00
2016-01-02,20,6355.0,2016-01-02 20:00:00
2016-01-02,21,6565.0,2016-01-02 21:00:00
2016-01-02,22,6717.0,2016-01-02 22:00:00
2016-01-02,23,6774.0,2016-01-02 23:00:00
2016-01-03,0,6813.0,2016-01-03 00:00:00
2016-01-03,1,6967.0,2016-01-03 01:00:00
2016-01-03,2,6941.0,2016-01-03 02:00:00
2016-01-03,3,6886.0,2016-01-03 03:00:00
2016-01-03,4,6740.0,2016-01-03 04:00:00
2016-01-03,5,6497.0,2016-01-03 05:00:00
2016-01-03,6,6141.0,2016-01-03 06:00:00
2016-01-03,7,5796.0,2016-01-03 07:00:00
2016-01-03,8,5715.0,2016-01-03 08:00:00
2016-01-03,9,5616.0,2016-01-03 09:00:00
2016-01-03,10,5487.0,2016-01-03 10:00:00
2016-01-03,11,5451.0,2016-01-03 11:00:00
2016-01-03,12,5334.0,2016-01-03 12:00:00
2016-01-03,13,5197.0,2016-01-03 13:00:00
2016-01-03,14,5367.0,2016-01-03 14:00:00
2016-01-03,15,5610.0,2016-01-03 15:00:00
2016-01-03,16,5934.0,2016-01-03 16:00:00
2016-01-03,17,6290.0,2016-01-03 17:00:00
2016-01-03,18,6779.0,2016-01-03 18:00:00
2016-01-03,19,7154.0,2016-01-03 19:00:00
2016-01-03,20,7279.0,2016-01-03 20:00:00
2016-01-03,21,7319.0,2016-01-03 21:00:00
2016-01-03,22,7207.0,2016-01-03 22:00:00
2016-01-03,23,6871.0,2016-01-03 23:00:00
2016-01-04,0,6531.0,2016-01-04 00:00:00
2016-01-04,1,6005.0,2016-01-04 01:00:00
2016-01-04,2,5735.0,2016-01-04 02:00:00
2016-01-04,3,5409.0,2016-01-04 03:00:00
2016-01-04,4,4916.0,2016-01-04 04:00:00
2016-01-04,5,4391.0,2016-01-04 05:00:00
2016-01-04,6,3923.0,2016-01-04 06:00:00
2016-01-04,7,3595.0,2016-01-04 07:00:00
2016-01-04,8,3466.0,2016-01-04 08:00:00
2016-01-04,9,3361.0,2016-01-04 09:00:00
2016-01-04,10,3255.0,2016-01-04 10:00:00
2016-01-04,11,3052.0,2016-01-04 11:00:00
2016-01-04,12,2859.0,2016-01-04 12:00:00
2016-01-04,13,2807.0,2016-01-04 13:00:00
2016-01-04,14,2994.0,2016-01-04 14:00:00
2016-01-04,15,3214.0,2016-01-04 15:00:00
2016-01-04,16,3293.0,2016-01-04 16:00:00
2016-01-04,17,3191.0,2016-01-04 17:00:00
