date,hour,load_forecast,actual_load,datetime
2016-01-01,0,10820.25,10884.0,2016-01-01 00:00:00
2016-01-01,1,10070.25,10580.25,2016-01-01 01:00:00
2016-01-01,2,9642.25,10082.25,2016-01-01 02:00:00
2016-01-01,3,9470.0,9613.75,2016-01-01 03:00:00
2016-01-01,4,9526.75,9366.5,2016-01-01 04:00:00
2016-01-01,5,9959.75,9369.0,2016-01-01 05:00:00
2016-01-01,6,11134.25,9611.5,2016-01-01 06:00:00
2016-01-01,7,12942.5,9973.25,2016-01-01 07:00:00
2016-01-01,8,14558.25,10280.25,2016-01-01 08:00:00
2016-01-01,9,15160.5,10608.25,2016-01-01 09:00:00
2016-01-01,10,15425.5,11211.5,2016-01-01 10:00:00
2016-01-01,11,15514.75,11532.0,2016-01-01 11:00:00
2016-01-01,12,15480.75,11636.5,2016-01-01 12:00:00
2016-01-01,13,15488.0,11702.75,2016-01-01 13:00:00
2016-01-01,14,15404.75,11829.0,2016-01-01 14:00:00
2016-01-01,15,15420.75,11935.25,2016-01-01 15:00:00
2016-01-01,16,15659.0,12443.75,2016-01-01 16:00:00
2016-01-01,17,16233.75,13617.0,2016-01-01 17:00:00
2016-01-01,18,15606.5,13664.5,2016-01-01 18:00:00
2016-01-01,19,14860.75,13393.0,2016-01-01 19:00:00
2016-01-01,20,14154.0,12947.5,2016-01-01 20:00:00
2016-01-01,21,13282.25,12314.25,2016-01-01 21:00:00
2016-01-01,22,12308.75,11670.25,2016-01-01 22:00:00
2016-01-01,23,11419.0,10934.0,2016-01-01 23:00:00
2016-01-02,0,10811.25,10272.75,2016-01-02 00:00:00
2016-01-02,1,9992.25,9683.75,2016-01-02 01:00:00
2016-01-02,2,9487.75,9349.75,2016-01-02 02:00:00
2016-01-02,3,9203.25,9245.5,2016-01-02 03:00:00
2016-01-02,4,9097.75,9258.75,2016-01-02 04:00:00
2016-01-02,5,9292.0,9419.5,2016-01-02 05:00:00
2016-01-02,6,9873.25,9976.0,2016-01-02 06:00:00
2016-01-02,7,10855.0,10862.25,2016-01-02 07:00:00
2016-01-02,8,12266.0,12024.75,2016-01-02 08:00:00
2016-01-02,9,13126.5,13115.75,2016-01-02 09:00:00
2016-01-02,10,13511.75,13853.75,2016-01-02 10:00:00
2016-01-02,11,13730.5,14232.0,2016-01-02 11:00:00
2016-01-02,12,13791.25,14273.75,2016-01-02 12:00:00
2016-01-02,13,13605.5,14040.0,2016-01-02 13:00:00
2016-01-02,14,13682.75,13792.25,2016-01-02 14:00:00
2016-01-02,15,13693.5,13716.5,2016-01-02 15:00:00
2016-01-02,16,14001.25,14259.0,2016-01-02 16:00:00
2016-01-02,17,14647.0,15337.75,2016-01-02 17:00:00
2016-01-02,18,14183.75,14954.75,2016-01-02 18:00:00
2016-01-02,19,13455.75,14461.5,2016-01-02 19:00:00
2016-01-02,20,12864.5,13788.0,2016-01-02 20:00:00
2016-01-02,21,12306.5,12900.75,2016-01-02 21:00:00
2016-01-02,22,11513.75,12211.5,2016-01-02 22:00:00
2016-01-02,23,10605.0,11515.0,2016-01-02 23:00:00
2016-01-03,0,9828.5,10757.25,2016-01-03 00:00:00
2016-01-03,1,9122.25,10095.75,2016-01-03 01:00:00
2016-01-03,2,8693.0,9681.25,2016-01-03 02:00:00
2016-01-03,3,8629.75,9470.25,2016-01-03 03:00:00
2016-01-03,4,8749.0,9433.25,2016-01-03 04:00:00
2016-01-03,5,8957.0,9523.75,2016-01-03 05:00:00
2016-01-03,6,9290.0,9732.25,2016-01-03 06:00:00
2016-01-03,7,9979.0,10287.75,2016-01-03 07:00:00
2016-01-03,8,11055.0,11077.5,2016-01-03 08:00:00
2016-01-03,9,11973.25,11799.25,2016-01-03 09:00:00
2016-01-03,10,12632.25,12458.0,2016-01-03 10:00:00
2016-01-03,11,13199.0,12895.5,2016-01-03 11:00:00
2016-01-03,12,13679.25,13143.25,2016-01-03 12:00:00
2016-01-03,13,13814.75,13014.25,2016-01-03 13:00:00
2016-01-03,14,13813.25,12864.0,2016-01-03 14:00:00
2016-01-03,15,14027.0,12888.5,2016-01-03 15:00:00
2016-01-03,16,14654.5,13493.75,2016-01-03 16:00:00
2016-01-03,17,15561.25,14739.0,2016-01-03 17:00:00
2016-01-03,18,15372.5,14537.5,2016-01-03 18:00:00
2016-01-03,19,14949.75,14227.5,2016-01-03 19:00:00
2016-01-03,20,14540.75,13767.0,2016-01-03 20:00:00
2016-01-03,21,13980.75,12996.5,2016-01-03 21:00:00
2016-01-03,22,13200.5,12100.25,2016-01-03 22:00:00
2016-01-03,23,12284.75,11199.0,2016-01-03 23:00:00
2016-01-04,0,11458.75,10431.25,2016-01-04 00:00:00
2016-01-04,1,10887.25,10068.5,2016-01-04 01:00:00
2016-01-04,2,10504.25,9888.5,2016-01-04 02:00:00
2016-01-04,3,10457.25,9883.75,2016-01-04 03:00:00
2016-01-04,4,10528.25,9915.75,2016-01-04 04:00:00
2016-01-04,5,11002.0,10507.5,2016-01-04 05:00:00
2016-01-04,6,12324.75,11988.0,2016-01-04 06:00:00
2016-01-04,7,14318.0,14270.75,2016-01-04 07:00:00
2016-01-04,8,16252.75,15787.75,2016-01-04 08:00:00
2016-01-04,9,16908.75,16263.0,2016-01-04 09:00:00
2016-01-04,10,17058.75,16410.5,2016-01-04 10:00:00
2016-01-04,11,17069.5,16570.0,2016-01-04 11:00:00
2016-01-04,12,16883.0,16533.25,2016-01-04 12:00:00
2016-01-04,13,16863.25,16685.75,2016-01-04 13:00:00
2016-01-04,14,16839.5,16619.5,2016-01-04 14:00:00
2016-01-04,15,16772.0,16634.5,2016-01-04 15:00:00
2016-01-04,16,17099.75,17180.25,2016-01-04 16:00:00
2016-01-04,17,17846.0,17776.5,2016-01-04 17:00:00
2016-01-04,18,17008.25,16963.5,2016-01-04 18:00:00
2016-01-04,19,16314.75,16367.0,2016-01-04 19:00:00
2016-01-04,20,15770.75,15461.5,2016-01-04 20:00:00
2016-01-04,21,15087.5,14437.75,2016-01-04 21:00:00
2016-01-04,22,13851.5,13239.75,2016-01-04 22:00:00
2016-01-04,23,12827.0,12185.75,2016-01-04 23:00:00
2016-01-05,0,12045.25,11188.75,2016-01-05 00:00:00
2016-01-05,1,11435.5,10621.75,2016-01-05 01:00:00
2016-01-05,2,10924.25,10347.5,2016-01-05 02:00:00
2016-01-05,3,10749.75,10245.75,2016-01-05 03:00:00
2016-01-05,4,10765.5,10345.5,2016-01-05 04:00:00
2016-01-05,5,11070.75,10812.5,2016-01-05 05:00:00
2016-01-05,6,12274.25,12293.5,2016-01-05 06:00:00
2016-01-05,7,14320.25,14676.75,2016-01-05 07:00:00
2016-01-05,8,16199.0,16301.5,2016-01-05 08:00:00
2016-01-05,9,16910.75,16746.75,2016-01-05 09:00:00
2016-01-05,10,17187.0,16842.0,2016-01-05 10:00:00
2016-01-05,11,17147.5,16910.0,2016-01-05 11:00:00
2016-01-05,12,16968.5,16742.75,2016-01-05 12:00:00
2016-01-05,13,17067.75,16806.75,2016-01-05 13:00:00
2016-01-05,14,17018.25,16710.0,2016-01-05 14:00:00
2016-01-05,15,17051.75,16723.0,2016-01-05 15:00:00
2016-01-05,16,17475.5,17046.0,2016-01-05 16:00:00
2016-01-05,17,18069.0,17737.0,2016-01-05 17:00:00
2016-01-05,18,17177.25,16926.0,2016-01-05 18:00:00
2016-01-05,19,16521.75,16317.0,2016-01-05 19:00:00
2016-01-05,20,15882.5,15390.75,2016-01-05 20:00:00
2016-01-05,21,14827.0,14406.75,2016-01-05 21:00:00
2016-01-05,22,13574.75,13241.5,2016-01-05 22:00:00
2016-01-05,23,12485.25,12259.0,2016-01-05 23:00:00
2016-01-06,0,11419.75,11335.5,2016-01-06 00:00:00
2016-01-06,1,10587.0,10750.75,2016-01-06 01:00:00
2016-01-06,2,10075.25,10415.5,2016-01-06 02:00:00
2016-01-06,3,9812.0,10350.5,2016-01-06 03:00:00
2016-01-06,4,9792.25,10424.75,2016-01-06 04:00:00
2016-01-06,5,10196.0,10932.25,2016-01-06 05:00:00
2016-01-06,6,11483.75,12413.75,2016-01-06 06:00:00
2016-01-06,7,13482.0,14817.5,2016-01-06 07:00:00
2016-01-06,8,15284.25,16424.75,2016-01-06 08:00:00
2016-01-06,9,15984.75,16924.0,2016-01-06 09:00:00
2016-01-06,10,16206.25,17057.5,2016-01-06 10:00:00
2016-01-06,11,16236.75,17094.5,2016-01-06 11:00:00
2016-01-06,12,16014.5,16987.75,2016-01-06 12:00:00
2016-01-06,13,16209.25,17063.0,2016-01-06 13:00:00
2016-01-06,14,16363.0,17026.0,2016-01-06 14:00:00
2016-01-06,15,16527.75,16933.5,2016-01-06 15:00:00
2016-01-06,16,16837.0,17233.0,2016-01-06 16:00:00
2016-01-06,17,17624.0,18001.5,2016-01-06 17:00:00
2016-01-06,18,16913.5,17089.5,2016-01-06 18:00:00
2016-01-06,19,16175.0,16424.5,2016-01-06 19:00:00
2016-01-06,20,15718.75,15538.25,2016-01-06 20:00:00
2016-01-06,21,14900.25,14479.0,2016-01-06 21:00:00
2016-01-06,22,13698.25,13305.75,2016-01-06 22:00:00
2016-01-06,23,12581.75,12318.5,2016-01-06 23:00:00
2016-01-07,0,11663.25,11381.25,2016-01-07 00:00:00
2016-01-07,1,10783.5,10833.25,2016-01-07 01:00:00
2016-01-07,2,10236.5,10485.25,2016-01-07 02:00:00
2016-01-07,3,9987.5,10355.75,2016-01-07 03:00:00
2016-01-07,4,9932.5,10405.25,2016-01-07 04:00:00
2016-01-07,5,10299.5,10895.5,2016-01-07 05:00:00
2016-01-07,6,11468.5,12382.0,2016-01-07 06:00:00
2016-01-07,7,13193.25,14754.75,2016-01-07 07:00:00
2016-01-07,8,14883.75,16367.5,2016-01-07 08:00:00
2016-01-07,9,15770.25,16750.25,2016-01-07 09:00:00
2016-01-07,10,15830.5,16932.0,2016-01-07 10:00:00
2016-01-07,11,15848.75,17079.25,2016-01-07 11:00:00
2016-01-07,12,15410.25,17028.0,2016-01-07 12:00:00
2016-01-07,13,15347.0,17125.5,2016-01-07 13:00:00
2016-01-07,14,15319.25,17138.0,2016-01-07 14:00:00
2016-01-07,15,15251.5,17192.5,2016-01-07 15:00:00
2016-01-07,16,15502.5,17563.75,2016-01-07 16:00:00
2016-01-07,17,16262.25,18162.25,2016-01-07 17:00:00
2016-01-07,18,15522.0,17348.25,2016-01-07 18:00:00
2016-01-07,19,14693.0,16724.5,2016-01-07 19:00:00
2016-01-07,20,14061.75,15768.75,2016-01-07 20:00:00
2016-01-07,21,13284.25,14665.75,2016-01-07 21:00:00
2016-01-07,22,12485.0,13484.0,2016-01-07 22:00:00
2016-01-07,23,11808.0,12499.5,2016-01-07 23:00:00
2016-01-08,0,10389.75,11558.5,2016-01-08 00:00:00
2016-01-08,1,9979.75,10938.5,2016-01-08 01:00:00
2016-01-08,2,9649.5,10583.75,2016-01-08 02:00:00
2016-01-08,3,9372.75,10454.0,2016-01-08 03:00:00
2016-01-08,4,9314.0,10542.0,2016-01-08 04:00:00
2016-01-08,5,9584.75,11043.25,2016-01-08 05:00:00
2016-01-08,6,10343.5,12666.25,2016-01-08 06:00:00
2016-01-08,7,11425.25,15011.75,2016-01-08 07:00:00
2016-01-08,8,12502.25,16524.25,2016-01-08 08:00:00
2016-01-08,9,13015.0,16845.0,2016-01-08 09:00:00
2016-01-08,10,13473.25,16737.0,2016-01-08 10:00:00
2016-01-08,11,13705.75,16534.75,2016-01-08 11:00:00
2016-01-08,12,13751.25,16115.0,2016-01-08 12:00:00
2016-01-08,13,13841.5,16066.5,2016-01-08 13:00:00
2016-01-08,14,13869.75,16026.75,2016-01-08 14:00:00
2016-01-08,15,13892.25,15954.0,2016-01-08 15:00:00
2016-01-08,16,14089.0,16246.75,2016-01-08 16:00:00
2016-01-08,17,14670.5,17401.25,2016-01-08 17:00:00
2016-01-08,18,14258.75,16864.25,2016-01-08 18:00:00
2016-01-08,19,13630.25,16157.25,2016-01-08 19:00:00
2016-01-08,20,13062.75,15245.25,2016-01-08 20:00:00
2016-01-08,21,12417.0,14148.75,2016-01-08 21:00:00
2016-01-08,22,11569.75,13140.0,2016-01-08 22:00:00
2016-01-08,23,10733.5,12394.5,2016-01-08 23:00:00
