datetime,price,date,hour
2016-01-01 00:00:00,23.86,01-01-2016,0
2016-01-01 01:00:00,22.39,01-01-2016,1
2016-01-01 02:00:00,20.59,01-01-2016,2
2016-01-01 03:00:00,16.81,01-01-2016,3
2016-01-01 04:00:00,17.41,01-01-2016,4
2016-01-01 05:00:00,17.02,01-01-2016,5
2016-01-01 06:00:00,15.86,01-01-2016,6
2016-01-01 07:00:00,18.16,01-01-2016,7
2016-01-01 08:00:00,17.73,01-01-2016,8
2016-01-01 09:00:00,19.77,01-01-2016,9
2016-01-01 10:00:00,23.75,01-01-2016,10
2016-01-01 11:00:00,26.03,01-01-2016,11
2016-01-01 12:00:00,27.06,01-01-2016,12
2016-01-01 13:00:00,26.59,01-01-2016,13
2016-01-01 14:00:00,25.0,01-01-2016,14
2016-01-01 15:00:00,27.04,01-01-2016,15
2016-01-01 16:00:00,34.46,01-01-2016,16
2016-01-01 17:00:00,45.14,01-01-2016,17
2016-01-01 18:00:00,40.0,01-01-2016,18
2016-01-01 19:00:00,35.34,01-01-2016,19
2016-01-01 20:00:00,33.07,01-01-2016,20
2016-01-01 21:00:00,29.52,01-01-2016,21
2016-01-01 22:00:00,30.1,01-01-2016,22
2016-01-01 23:00:00,24.57,01-01-2016,23
2016-01-02 00:00:00,22.2,02-01-2016,0
2016-01-02 01:00:00,16.57,02-01-2016,1
2016-01-02 02:00:00,15.35,02-01-2016,2
2016-01-02 03:00:00,12.77,02-01-2016,3
2016-01-02 04:00:00,11.27,02-01-2016,4
2016-01-02 05:00:00,11.91,02-01-2016,5
2016-01-02 06:00:00,12.62,02-01-2016,6
2016-01-02 07:00:00,15.27,02-01-2016,7
2016-01-02 08:00:00,22.34,02-01-2016,8
2016-01-02 09:00:00,27.44,02-01-2016,9
2016-01-02 10:00:00,37.0,02-01-2016,10
2016-01-02 11:00:00,38.0,02-01-2016,11
2016-01-02 12:00:00,46.68,02-01-2016,12
2016-01-02 13:00:00,42.44,02-01-2016,13
2016-01-02 14:00:00,34.94,02-01-2016,14
2016-01-02 15:00:00,29.0,02-01-2016,15
2016-01-02 16:00:00,32.0,02-01-2016,16
2016-01-02 17:00:00,45.0,02-01-2016,17
2016-01-02 18:00:00,44.65,02-01-2016,18
2016-01-02 19:00:00,39.0,02-01-2016,19
2016-01-02 20:00:00,35.0,02-01-2016,20
2016-01-02 21:00:00,27.54,02-01-2016,21
2016-01-02 22:00:00,32.18,02-01-2016,22
2016-01-02 23:00:00,30.12,02-01-2016,23
2016-01-03 00:00:00,21.39,03-01-2016,0
2016-01-03 01:00:00,18.91,03-01-2016,1
2016-01-03 02:00:00,19.07,03-01-2016,2
2016-01-03 03:00:00,16.1,03-01-2016,3
2016-01-03 04:00:00,13.97,03-01-2016,4
2016-01-03 05:00:00,15.37,03-01-2016,5
2016-01-03 06:00:00,15.47,03-01-2016,6
2016-01-03 07:00:00,16.04,03-01-2016,7
2016-01-03 08:00:00,18.44,03-01-2016,8
2016-01-03 09:00:00,23.1,03-01-2016,9
2016-01-03 10:00:00,32.44,03-01-2016,10
2016-01-03 11:00:00,34.11,03-01-2016,11
2016-01-03 12:00:00,33.79,03-01-2016,12
2016-01-03 13:00:00,41.31,03-01-2016,13
2016-01-03 14:00:00,26.18,03-01-2016,14
2016-01-03 15:00:00,23.34,03-01-2016,15
2016-01-03 16:00:00,21.68,03-01-2016,16
2016-01-03 17:00:00,24.94,03-01-2016,17
2016-01-03 18:00:00,26.76,03-01-2016,18
2016-01-03 19:00:00,28.0,03-01-2016,19
2016-01-03 20:00:00,25.33,03-01-2016,20
2016-01-03 21:00:00,22.11,03-01-2016,21
2016-01-03 22:00:00,29.94,03-01-2016,22
2016-01-03 23:00:00,23.1,03-01-2016,23
2016-01-04 00:00:00,13.78,04-01-2016,0
2016-01-04 01:00:00,15.09,04-01-2016,1
2016-01-04 02:00:00,14.94,04-01-2016,2
2016-01-04 03:00:00,15.06,04-01-2016,3
2016-01-04 04:00:00,16.39,04-01-2016,4
2016-01-04 05:00:00,16.43,04-01-2016,5
2016-01-04 06:00:00,22.99,04-01-2016,6
2016-01-04 07:00:00,41.79,04-01-2016,7
2016-01-04 08:00:00,42.69,04-01-2016,8
2016-01-04 09:00:00,33.46,04-01-2016,9
2016-01-04 10:00:00,33.24,04-01-2016,10
2016-01-04 11:00:00,35.09,04-01-2016,11
2016-01-04 12:00:00,35.0,04-01-2016,12
2016-01-04 13:00:00,35.0,04-01-2016,13
2016-01-04 14:00:00,34.94,04-01-2016,14
2016-01-04 15:00:00,34.92,04-01-2016,15
2016-01-04 16:00:00,38.0,04-01-2016,16
2016-01-04 17:00:00,41.21,04-01-2016,17
2016-01-04 18:00:00,42.95,04-01-2016,18
2016-01-04 19:00:00,41.96,04-01-2016,19
2016-01-04 20:00:00,34.94,04-01-2016,20
2016-01-04 21:00:00,30.66,04-01-2016,21
2016-01-04 22:00:00,30.0,04-01-2016,22
2016-01-04 23:00:00,23.9,04-01-2016,23
2016-01-05 00:00:00,25.03,05-01-2016,0
2016-01-05 01:00:00,24.42,05-01-2016,1
2016-01-05 02:00:00,22.34,05-01-2016,2
2016-01-05 03:00:00,21.5,05-01-2016,3
2016-01-05 04:00:00,20.0,05-01-2016,4
2016-01-05 05:00:00,23.53,05-01-2016,5
2016-01-05 06:00:00,28.96,05-01-2016,6
2016-01-05 07:00:00,38.32,05-01-2016,7
2016-01-05 08:00:00,41.45,05-01-2016,8
2016-01-05 09:00:00,40.72,05-01-2016,9
2016-01-05 10:00:00,40.66,05-01-2016,10
2016-01-05 11:00:00,40.33,05-01-2016,11
2016-01-05 12:00:00,38.25,05-01-2016,12
2016-01-05 13:00:00,36.98,05-01-2016,13
2016-01-05 14:00:00,34.91,05-01-2016,14
2016-01-05 15:00:00,33.5,05-01-2016,15
2016-01-05 16:00:00,35.1,05-01-2016,16
2016-01-05 17:00:00,42.44,05-01-2016,17
2016-01-05 18:00:00,42.94,05-01-2016,18
2016-01-05 19:00:00,40.5,05-01-2016,19
2016-01-05 20:00:00,34.49,05-01-2016,20
2016-01-05 21:00:00,31.43,05-01-2016,21
2016-01-05 22:00:00,30.54,05-01-2016,22
2016-01-05 23:00:00,26.99,05-01-2016,23
2016-01-06 00:00:00,26.62,06-01-2016,0
2016-01-06 01:00:00,25.58,06-01-2016,1
2016-01-06 02:00:00,24.59,06-01-2016,2
2016-01-06 03:00:00,22.5,06-01-2016,3
2016-01-06 04:00:00,23.16,06-01-2016,4
2016-01-06 05:00:00,24.99,06-01-2016,5
2016-01-06 06:00:00,26.62,06-01-2016,6
2016-01-06 07:00:00,28.03,06-01-2016,7
2016-01-06 08:00:00,30.82,06-01-2016,8
2016-01-06 09:00:00,34.22,06-01-2016,9
2016-01-06 10:00:00,37.9,06-01-2016,10
2016-01-06 11:00:00,40.08,06-01-2016,11
2016-01-06 12:00:00,40.73,06-01-2016,12
2016-01-06 13:00:00,38.26,06-01-2016,13
2016-01-06 14:00:00,35.44,06-01-2016,14
2016-01-06 15:00:00,36.92,06-01-2016,15
2016-01-06 16:00:00,41.28,06-01-2016,16
2016-01-06 17:00:00,44.95,06-01-2016,17
2016-01-06 18:00:00,46.9,06-01-2016,18
2016-01-06 19:00:00,43.95,06-01-2016,19
2016-01-06 20:00:00,39.94,06-01-2016,20
2016-01-06 21:00:00,32.4,06-01-2016,21
2016-01-06 22:00:00,33.51,06-01-2016,22
2016-01-06 23:00:00,30.11,06-01-2016,23
2016-01-07 00:00:00,26.41,07-01-2016,0
2016-01-07 01:00:00,26.05,07-01-2016,1
2016-01-07 02:00:00,24.93,07-01-2016,2
2016-01-07 03:00:00,22.39,07-01-2016,3
2016-01-07 04:00:00,22.32,07-01-2016,4
2016-01-07 05:00:00,24.2,07-01-2016,5
2016-01-07 06:00:00,31.0,07-01-2016,6
2016-01-07 07:00:00,42.47,07-01-2016,7
2016-01-07 08:00:00,42.97,07-01-2016,8
2016-01-07 09:00:00,41.93,07-01-2016,9
2016-01-07 10:00:00,41.62,07-01-2016,10
2016-01-07 11:00:00,41.5,07-01-2016,11
2016-01-07 12:00:00,40.66,07-01-2016,12
2016-01-07 13:00:00,40.33,07-01-2016,13
2016-01-07 14:00:00,36.51,07-01-2016,14
2016-01-07 15:00:00,33.49,07-01-2016,15
2016-01-07 16:00:00,34.19,07-01-2016,16
2016-01-07 17:00:00,40.66,07-01-2016,17
2016-01-07 18:00:00,40.8,07-01-2016,18
2016-01-07 19:00:00,37.19,07-01-2016,19
2016-01-07 20:00:00,31.94,07-01-2016,20
2016-01-07 21:00:00,32.44,07-01-2016,21
2016-01-07 22:00:00,31.35,07-01-2016,22
2016-01-07 23:00:00,29.94,07-01-2016,23
2016-01-08 00:00:00,12.12,08-01-2016,0
2016-01-08 01:00:00,20.82,08-01-2016,1
2016-01-08 02:00:00,20.43,08-01-2016,2
2016-01-08 03:00:00,20.02,08-01-2016,3
2016-01-08 04:00:00,18.01,08-01-2016,4
2016-01-08 05:00:00,19.68,08-01-2016,5
2016-01-08 06:00:00,24.28,08-01-2016,6
2016-01-08 07:00:00,33.0,08-01-2016,7
2016-01-08 08:00:00,46.13,08-01-2016,8
2016-01-08 09:00:00,35.0,08-01-2016,9
2016-01-08 10:00:00,33.0,08-01-2016,10
2016-01-08 11:00:00,36.91,08-01-2016,11
2016-01-08 12:00:00,36.13,08-01-2016,12
2016-01-08 13:00:00,36.13,08-01-2016,13
2016-01-08 14:00:00,28.52,08-01-2016,14
2016-01-08 15:00:00,32.08,08-01-2016,15
2016-01-08 16:00:00,37.16,08-01-2016,16
2016-01-08 17:00:00,45.0,08-01-2016,17
2016-01-08 18:00:00,46.97,08-01-2016,18
2016-01-08 19:00:00,40.09,08-01-2016,19
2016-01-08 20:00:00,34.61,08-01-2016,20
2016-01-08 21:00:00,31.52,08-01-2016,21
2016-01-08 22:00:00,32.5,08-01-2016,22
2016-01-08 23:00:00,28.0,08-01-2016,23
2016-01-09 00:00:00,26.1,09-01-2016,0
2016-01-09 01:00:00,25.1,09-01-2016,1
2016-01-09 02:00:00,24.3,09-01-2016,2
2016-01-09 03:00:00,23.23,09-01-2016,3
2016-01-09 04:00:00,21.96,09-01-2016,4
2016-01-09 05:00:00,22.45,09-01-2016,5
2016-01-09 06:00:00,23.07,09-01-2016,6
2016-01-09 07:00:00,25.0,09-01-2016,7
2016-01-09 08:00:00,32.11,09-01-2016,8
2016-01-09 09:00:00,37.12,09-01-2016,9
2016-01-09 10:00:00,36.13,09-01-2016,10
2016-01-09 11:00:00,35.76,09-01-2016,11
2016-01-09 12:00:00,34.06,09-01-2016,12
2016-01-09 13:00:00,31.54,09-01-2016,13
2016-01-09 14:00:00,27.92,09-01-2016,14
2016-01-09 15:00:00,27.0,09-01-2016,15
2016-01-09 16:00:00,30.5,09-01-2016,16
2016-01-09 17:00:00,36.99,09-01-2016,17
2016-01-09 18:00:00,36.8,09-01-2016,18
2016-01-09 19:00:00,35.0,09-01-2016,19
2016-01-09 20:00:00,29.0,09-01-2016,20
2016-01-09 21:00:00,25.01,09-01-2016,21
2016-01-09 22:00:00,25.1,09-01-2016,22
2016-01-09 23:00:00,22.28,09-01-2016,23
2016-01-10 00:00:00,15.58,10-01-2016,0
2016-01-10 01:00:00,19.05,10-01-2016,1
2016-01-10 02:00:00,17.24,10-01-2016,2
2016-01-10 03:00:00,12.75,10-01-2016,3
2016-01-10 04:00:00,10.81,10-01-2016,4
2016-01-10 05:00:00,10.85,10-01-2016,5
2016-01-10 06:00:00,9.85,10-01-2016,6
2016-01-10 07:00:00,18.66,10-01-2016,7
2016-01-10 08:00:00,18.87,10-01-2016,8
2016-01-10 09:00:00,20.82,10-01-2016,9
2016-01-10 10:00:00,21.65,10-01-2016,10
2016-01-10 11:00:00,22.8,10-01-2016,11
2016-01-10 12:00:00,27.0,10-01-2016,12
2016-01-10 13:00:00,22.8,10-01-2016,13
2016-01-10 14:00:00,22.44,10-01-2016,14
2016-01-10 15:00:00,22.71,10-01-2016,15
2016-01-10 16:00:00,23.92,10-01-2016,16
2016-01-10 17:00:00,27.73,10-01-2016,17
2016-01-10 18:00:00,35.0,10-01-2016,18
2016-01-10 19:00:00,33.0,10-01-2016,19
2016-01-10 20:00:00,33.0,10-01-2016,20
2016-01-10 21:00:00,30.0,10-01-2016,21
2016-01-10 22:00:00,26.93,10-01-2016,22
2016-01-10 23:00:00,23.12,10-01-2016,23
2016-01-11 00:00:00,21.95,11-01-2016,0
2016-01-11 01:00:00,20.04,11-01-2016,1
2016-01-11 02:00:00,19.78,11-01-2016,2
2016-01-11 03:00:00,19.36,11-01-2016,3
2016-01-11 04:00:00,19.56,11-01-2016,4
2016-01-11 05:00:00,21.67,11-01-2016,5
2016-01-11 06:00:00,28.5,11-01-2016,6
2016-01-11 07:00:00,41.61,11-01-2016,7
2016-01-11 08:00:00,45.93,11-01-2016,8
2016-01-11 09:00:00,44.0,11-01-2016,9
2016-01-11 10:00:00,41.94,11-01-2016,10
2016-01-11 11:00:00,41.96,11-01-2016,11
2016-01-11 12:00:00,41.5,11-01-2016,12
2016-01-11 13:00:00,41.0,11-01-2016,13
2016-01-11 14:00:00,39.88,11-01-2016,14
2016-01-11 15:00:00,37.5,11-01-2016,15
2016-01-11 16:00:00,37.95,11-01-2016,16
2016-01-11 17:00:00,42.97,11-01-2016,17
2016-01-11 18:00:00,42.88,11-01-2016,18
2016-01-11 19:00:00,40.0,11-01-2016,19
2016-01-11 20:00:00,33.09,11-01-2016,20
2016-01-11 21:00:00,27.93,11-01-2016,21
2016-01-11 22:00:00,28.0,11-01-2016,22
2016-01-11 23:00:00,24.15,11-01-2016,23
2016-01-12 00:00:00,21.51,12-01-2016,0
2016-01-12 01:00:00,19.81,12-01-2016,1
2016-01-12 02:00:00,19.1,12-01-2016,2
2016-01-12 03:00:00,15.74,12-01-2016,3
2016-01-12 04:00:00,15.22,12-01-2016,4
2016-01-12 05:00:00,20.19,12-01-2016,5
2016-01-12 06:00:00,24.38,12-01-2016,6
2016-01-12 07:00:00,35.92,12-01-2016,7
2016-01-12 08:00:00,40.5,12-01-2016,8
2016-01-12 09:00:00,41.0,12-01-2016,9
2016-01-12 10:00:00,38.66,12-01-2016,10
2016-01-12 11:00:00,36.46,12-01-2016,11
