"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2018 00:00 - 01.01.2018 00:15","42237","45952"
"01.01.2018 00:15 - 01.01.2018 00:30","41456","45442"
"01.01.2018 00:30 - 01.01.2018 00:45","41009","45077"
"01.01.2018 00:45 - 01.01.2018 01:00","40521","44897"
"01.01.2018 01:00 - 01.01.2018 01:15","40034","44616"
"01.01.2018 01:15 - 01.01.2018 01:30","39615","44469"
"01.01.2018 01:30 - 01.01.2018 01:45","39221","43947"
"01.01.2018 01:45 - 01.01.2018 02:00","38966","43683"
"01.01.2018 02:00 - 01.01.2018 02:15","38600","43315"
"01.01.2018 02:15 - 01.01.2018 02:30","38486","43047"
"01.01.2018 02:30 - 01.01.2018 02:45","38366","43186"
"01.01.2018 02:45 - 01.01.2018 03:00","38295","42747"
"01.01.2018 03:00 - 01.01.2018 03:15","38204","42649"
"01.01.2018 03:15 - 01.01.2018 03:30","38231","42450"
"01.01.2018 03:30 - 01.01.2018 03:45","38273","42253"
"01.01.2018 03:45 - 01.01.2018 04:00","38335","42217"
"01.01.2018 04:00 - 01.01.2018 04:15","38475","42424"
"01.01.2018 04:15 - 01.01.2018 04:30","38574","42318"
"01.01.2018 04:30 - 01.01.2018 04:45","38629","42392"
"01.01.2018 04:45 - 01.01.2018 05:00","38570","42348"
"01.01.2018 05:00 - 01.01.2018 05:15","38911","42519"
"01.01.2018 05:15 - 01.01.2018 05:30","38707","42241"
"01.01.2018 05:30 - 01.01.2018 05:45","38690","42062"
"01.01.2018 05:45 - 01.01.2018 06:00","38366","41717"
"01.01.2018 06:00 - 01.01.2018 06:15","37603","41133"
"01.01.2018 06:15 - 01.01.2018 06:30","37870","40971"
"01.01.2018 06:30 - 01.01.2018 06:45","37824","41014"
"01.01.2018 06:45 - 01.01.2018 07:00","38082","41190"
"01.01.2018 07:00 - 01.01.2018 07:15","38434","41352"
"01.01.2018 07:15 - 01.01.2018 07:30","38869","41470"
"01.01.2018 07:30 - 01.01.2018 07:45","39620","41753"
"01.01.2018 07:45 - 01.01.2018 08:00","40698","42054"
"01.01.2018 08:00 - 01.01.2018 08:15","41561","42377"
"01.01.2018 08:15 - 01.01.2018 08:30","42075","42440"
"01.01.2018 08:30 - 01.01.2018 08:45","42643","42836"
"01.01.2018 08:45 - 01.01.2018 09:00","43254","43290"
"01.01.2018 09:00 - 01.01.2018 09:15","44312","44225"
"01.01.2018 09:15 - 01.01.2018 09:30","45197","44725"
"01.01.2018 09:30 - 01.01.2018 09:45","45599","45416"
"01.01.2018 09:45 - 01.01.2018 10:00","46087","46042"
"01.01.2018 10:00 - 01.01.2018 10:15","46917","46828"
"01.01.2018 10:15 - 01.01.2018 10:30","47723","47402"
"01.01.2018 10:30 - 01.01.2018 10:45","48218","48035"
"01.01.2018 10:45 - 01.01.2018 11:00","48844","48544"
"01.01.2018 11:00 - 01.01.2018 11:15","49587","49459"
"01.01.2018 11:15 - 01.01.2018 11:30","50225","50092"
"01.01.2018 11:30 - 01.01.2018 11:45","50852","50697"
"01.01.2018 11:45 - 01.01.2018 12:00","51823","51047"
"01.01.2018 12:00 - 01.01.2018 12:15","51064","51479"
"01.01.2018 12:15 - 01.01.2018 12:30","50948","51755"
"01.01.2018 12:30 - 01.01.2018 12:45","50660","52118"
"01.01.2018 12:45 - 01.01.2018 13:00","50197","52076"
"01.01.2018 13:00 - 01.01.2018 13:15","49845","51511"
"01.01.2018 13:15 - 01.01.2018 13:30","49182","50870"
"01.01.2018 13:30 - 01.01.2018 13:45","48718","50641"
"01.01.2018 13:45 - 01.01.2018 14:00","48191","50035"
"01.01.2018 14:00 - 01.01.2018 14:15","47782","49584"
"01.01.2018 14:15 - 01.01.2018 14:30","47295","49390"
"01.01.2018 14:30 - 01.01.2018 14:45","47199","49606"
"01.01.2018 14:45 - 01.01.2018 15:00","47133","49489"
"01.01.2018 15:00 - 01.01.2018 15:15","46825","49460"
"01.01.2018 15:15 - 01.01.2018 15:30","46975","49583"
"01.01.2018 15:30 - 01.01.2018 15:45","47197","49726"
"01.01.2018 15:45 - 01.01.2018 16:00","47196","49820"
"01.01.2018 16:00 - 01.01.2018 16:15","47769","50368"
"01.01.2018 16:15 - 01.01.2018 16:30","47984","51259"
"01.01.2018 16:30 - 01.01.2018 16:45","48068","52195"
"01.01.2018 16:45 - 01.01.2018 17:00","49838","53622"
"01.01.2018 17:00 - 01.01.2018 17:15","51269","54976"
"01.01.2018 17:15 - 01.01.2018 17:30","52076","55334"
"01.01.2018 17:30 - 01.01.2018 17:45","52696","55729"
"01.01.2018 17:45 - 01.01.2018 18:00","52979","55862"
"01.01.2018 18:00 - 01.01.2018 18:15","53437","56380"
"01.01.2018 18:15 - 01.01.2018 18:30","53509","56389"
"01.01.2018 18:30 - 01.01.2018 18:45","53388","56431"
"01.01.2018 18:45 - 01.01.2018 19:00","53202","56050"
"01.01.2018 19:00 - 01.01.2018 19:15","53047","55555"
"01.01.2018 19:15 - 01.01.2018 19:30","52574","55121"
"01.01.2018 19:30 - 01.01.2018 19:45","52269","54617"
"01.01.2018 19:45 - 01.01.2018 20:00","52096","54130"
"01.01.2018 20:00 - 01.01.2018 20:15","51406","53407"
"01.01.2018 20:15 - 01.01.2018 20:30","50661","52764"
"01.01.2018 20:30 - 01.01.2018 20:45","50108","51945"
"01.01.2018 20:45 - 01.01.2018 21:00","49568","51189"
"01.01.2018 21:00 - 01.01.2018 21:15","48922","50888"
"01.01.2018 21:15 - 01.01.2018 21:30","48916","50443"
"01.01.2018 21:30 - 01.01.2018 21:45","49780","50181"
"01.01.2018 21:45 - 01.01.2018 22:00","48337","50167"
"01.01.2018 22:00 - 01.01.2018 22:15","49030","50515"
"01.01.2018 22:15 - 01.01.2018 22:30","48562","50047"
"01.01.2018 22:30 - 01.01.2018 22:45","47817","49119"
"01.01.2018 22:45 - 01.01.2018 23:00","47044","48583"
"01.01.2018 23:00 - 01.01.2018 23:15","46274","47782"
"01.01.2018 23:15 - 01.01.2018 23:30","45667","46950"
"01.01.2018 23:30 - 01.01.2018 23:45","44887","46069"
"01.01.2018 23:45 - 02.01.2018 00:00","44638","44975"
"02.01.2018 00:00 - 02.01.2018 00:15","44427","44495"
"02.01.2018 00:15 - 02.01.2018 00:30","43825","43656"
"02.01.2018 00:30 - 02.01.2018 00:45","43444","43291"
"02.01.2018 00:45 - 02.01.2018 01:00","43355","42644"
"02.01.2018 01:00 - 02.01.2018 01:15","42874","42102"
"02.01.2018 01:15 - 02.01.2018 01:30","42558","41549"
"02.01.2018 01:30 - 02.01.2018 01:45","42363","41424"
"02.01.2018 01:45 - 02.01.2018 02:00","42125","41287"
"02.01.2018 02:00 - 02.01.2018 02:15","41770","41039"
"02.01.2018 02:15 - 02.01.2018 02:30","41819","41166"
"02.01.2018 02:30 - 02.01.2018 02:45","41720","41174"
"02.01.2018 02:45 - 02.01.2018 03:00","41735","41159"
"02.01.2018 03:00 - 02.01.2018 03:15","41798","41457"
"02.01.2018 03:15 - 02.01.2018 03:30","41942","41382"
"02.01.2018 03:30 - 02.01.2018 03:45","41969","41582"
"02.01.2018 03:45 - 02.01.2018 04:00","42176","41799"
"02.01.2018 04:00 - 02.01.2018 04:15","42683","42264"
"02.01.2018 04:15 - 02.01.2018 04:30","42997","42476"
"02.01.2018 04:30 - 02.01.2018 04:45","43462","43176"
"02.01.2018 04:45 - 02.01.2018 05:00","43964","43738"
"02.01.2018 05:00 - 02.01.2018 05:15","44999","44998"
"02.01.2018 05:15 - 02.01.2018 05:30","45748","45653"
"02.01.2018 05:30 - 02.01.2018 05:45","46892","46806"
"02.01.2018 05:45 - 02.01.2018 06:00","48264","48326"
"02.01.2018 06:00 - 02.01.2018 06:15","50951","50354"
"02.01.2018 06:15 - 02.01.2018 06:30","52804","52247"
"02.01.2018 06:30 - 02.01.2018 06:45","54742","53756"
"02.01.2018 06:45 - 02.01.2018 07:00","56139","55344"
"02.01.2018 07:00 - 02.01.2018 07:15","57749","57504"
"02.01.2018 07:15 - 02.01.2018 07:30","58913","58534"
"02.01.2018 07:30 - 02.01.2018 07:45","59887","59781"
"02.01.2018 07:45 - 02.01.2018 08:00","61068","60906"
"02.01.2018 08:00 - 02.01.2018 08:15","62028","62106"
"02.01.2018 08:15 - 02.01.2018 08:30","62186","62769"
"02.01.2018 08:30 - 02.01.2018 08:45","62533","63393"
"02.01.2018 08:45 - 02.01.2018 09:00","62542","63779"
"02.01.2018 09:00 - 02.01.2018 09:15","62442","64084"
"02.01.2018 09:15 - 02.01.2018 09:30","62800","64530"
"02.01.2018 09:30 - 02.01.2018 09:45","63016","65117"
"02.01.2018 09:45 - 02.01.2018 10:00","63702","65556"
"02.01.2018 10:00 - 02.01.2018 10:15","63924","65981"
"02.01.2018 10:15 - 02.01.2018 10:30","64361","66297"
"02.01.2018 10:30 - 02.01.2018 10:45","64967","67143"
"02.01.2018 10:45 - 02.01.2018 11:00","65153","67576"
"02.01.2018 11:00 - 02.01.2018 11:15","65386","67468"
"02.01.2018 11:15 - 02.01.2018 11:30","65649","67995"
"02.01.2018 11:30 - 02.01.2018 11:45","65879","68715"
"02.01.2018 11:45 - 02.01.2018 12:00","65856","69010"
"02.01.2018 12:00 - 02.01.2018 12:15","65506","68951"
"02.01.2018 12:15 - 02.01.2018 12:30","65750","68925"
"02.01.2018 12:30 - 02.01.2018 12:45","65469","69051"
"02.01.2018 12:45 - 02.01.2018 13:00","65670","68833"
"02.01.2018 13:00 - 02.01.2018 13:15","65505","68670"
"02.01.2018 13:15 - 02.01.2018 13:30","65325","68501"
"02.01.2018 13:30 - 02.01.2018 13:45","65027","68125"
