time_span,distribution,run,regularization,mae,rmse
1,,naive,,6.377854308390022,9.43084930772229
1,,DNN_Ens,lasso,4.3721339614677825,6.5883474572484895
1,point,qra,lasso,4.691941740821279,7.101880744560764
1,point,qrm,lasso,4.36030059312412,6.555649283633163
1,jsu,1,lasso,5.168024457337631,7.9417345568837465
1,jsu,1,enet,4.72969692289647,6.989018994418499
1,jsu,2,lasso,4.809849149792895,8.196071029893364
1,jsu,2,enet,4.729136782916812,7.861399202742373
1,jsu,3,lasso,4.7688609319211945,7.099876898452886
1,jsu,3,enet,4.886628209144677,7.129777718377878
1,jsu,4,lasso,4.510807598775348,6.6438946387893525
1,jsu,4,enet,4.675182756678378,6.924917634491243
1,jsu,pEns,lasso,4.685106019270344,39.86605544798148
1,jsu,pEns,enet,4.42314719012771,6.6061894389546465
1,jsu,qEns,lasso,4.386770591619176,6.64807160171302
1,jsu,qEns,enet,4.4274469746628675,6.6321122947493025
1,LQRA,lambda_0,lasso,4.655788363701878,6.790985852216768
1,LQRA,BIC,lasso,4.387792025611112,6.439143373109738
1,EQRA,BIC_alpha_0.25,enet,4.412077213900253,6.4580819878279625
1,EQRA,BIC_alpha_0.5,enet,4.4141851873959315,6.459715976920223
1,EQRA,BIC_alpha_0.75,enet,4.414872822871227,6.459461484420631
1,,q-Ens,,4.423043400556121,6.462207520443046
1,,QRM,,4.419788744055918,6.451862479875366
2,,naive,,25.823049891245244,39.667517766374665
2,,DNN_Ens,lasso,16.724638514607367,25.124354413555555
2,point,qra,lasso,15.874356566405845,23.041965257844026
2,point,qrm,lasso,16.258459718350515,24.760897908890467
2,jsu,1,lasso,18.885488947376093,27.87585143537018
2,jsu,1,enet,19.358687632100434,34.34983834174118
2,jsu,2,lasso,18.047068211214047,31.460323726653126
2,jsu,2,enet,19.287614862275205,31.610442171353967
2,jsu,3,lasso,17.737755523613856,26.310541426738133
2,jsu,3,enet,18.534169976526478,30.039284766496504
2,jsu,4,lasso,19.398820399940888,29.45682467514706
2,jsu,4,enet,18.17179042187298,32.15979357076135
2,jsu,pEns,lasso,16.03424099462371,24.421754196933755
2,jsu,pEns,enet,16.382241419529105,26.11465857384478
2,jsu,qEns,lasso,15.972835827405275,23.677451657391618
2,jsu,qEns,enet,16.620255631880934,27.74135247222191
2,LQRA,lambda_0,lasso,17.512730164182695,27.076891766549554
2,LQRA,BIC,lasso,16.126435777757234,24.624081612639092
2,EQRA,BIC_alpha_0.25,enet,16.200671080767002,24.703903644238782
2,EQRA,BIC_alpha_0.5,enet,16.21028212850969,24.699636881134932
2,EQRA,BIC_alpha_0.75,enet,16.22930095485901,24.73607854276411
2,,q-Ens,,16.652216604331393,25.39590113316281
2,,QRM,,16.681001303204877,25.439136180768543
